,price,plotsize,bedrooms,bathrms,stories,driveway
1,42000,5850,3,1,2,yes
2,38500,4000,2,1,1,yes
3,49500,3060,3,1,1,yes
4,60500,6650,3,1,2,yes
5,61000,6360,2,1,1,yes
6,66000,4160,3,1,1,yes
7,66000,3880,3,2,2,yes
8,69000,4160,3,1,3,yes
9,83800,4800,3,1,1,yes
10,88500,5500,3,2,4,yes
11,90000,7200,3,2,1,yes
12,30500,3000,2,1,1,no
13,27000,1700,3,1,2,yes
14,36000,2880,3,1,1,no
15,37000,3600,2,1,1,yes
16,37900,3185,2,1,1,yes
17,40500,3300,3,1,2,no
18,40750,5200,4,1,3,yes
19,45000,3450,1,1,1,yes
20,45000,3986,2,2,1,no
21,48500,4785,3,1,2,yes
22,65900,4510,4,2,2,yes
23,37900,4000,3,1,2,yes
24,38000,3934,2,1,1,yes
25,42000,4960,2,1,1,yes
26,42300,3000,2,1,2,yes
27,43500,3800,2,1,1,yes
28,44000,4960,2,1,1,yes
29,44500,3000,3,1,1,no
30,44900,4500,3,1,2,yes
31,45000,3500,2,1,1,no
32,48000,3500,4,1,2,yes
33,49000,4000,2,1,1,yes
34,51500,4500,2,1,1,yes
35,61000,6360,2,1,2,yes
36,61000,4500,2,1,1,yes
37,61700,4032,2,1,1,yes
38,67000,5170,3,1,4,yes
39,82000,5400,4,2,2,yes
40,54500,3150,2,2,1,no
41,66500,3745,3,1,2,yes
42,70000,4520,3,1,2,yes
43,82000,4640,4,1,2,yes
44,92000,8580,5,3,2,yes
45,38000,2000,2,1,2,yes
46,44000,2160,3,1,2,no
47,41000,3040,2,1,1,no
48,43000,3090,3,1,2,no
49,48000,4960,4,1,3,no
50,54800,3350,3,1,2,yes
51,55000,5300,5,2,2,yes
52,57000,4100,4,1,1,no
53,68000,9166,2,1,1,yes
54,95000,4040,3,1,2,yes
55,38000,3630,3,3,2,no
56,25000,3620,2,1,1,yes
57,25245,2400,3,1,1,no
58,56000,7260,3,2,1,yes
59,35500,4400,3,1,2,yes
60,30000,2400,3,1,2,yes
61,48000,4120,2,1,2,yes
62,48000,4750,2,1,1,yes
63,52000,4280,2,1,1,yes
64,54000,4820,3,1,2,yes
65,56000,5500,4,1,2,yes
66,60000,5500,3,1,2,yes
67,60000,5040,3,1,2,yes
68,67000,6000,2,1,1,yes
69,47000,2500,2,1,1,no
70,70000,4095,3,1,2,no
71,45000,4095,2,1,1,yes
72,51000,3150,3,1,2,yes
73,32500,1836,2,1,1,no
74,34000,2475,3,1,2,yes
75,35000,3210,3,1,2,yes
76,36000,3180,3,1,1,no
77,45000,1650,3,1,2,no
78,47000,3180,4,1,2,yes
79,55000,3180,2,2,1,yes
80,63900,6360,2,1,1,yes
81,50000,4240,3,1,2,yes
82,35000,3240,2,1,1,no
83,50000,3650,3,1,2,yes
84,43000,3240,3,1,2,yes
85,55500,3780,2,1,2,yes
86,57000,6480,3,1,2,no
87,60000,5850,2,1,1,yes
88,78000,3150,3,2,1,yes
89,35000,3000,2,1,1,yes
90,44000,3090,2,1,1,yes
91,47000,6060,3,1,1,yes
92,58000,5900,4,2,2,no
93,163000,7420,4,1,2,yes
94,128000,8500,3,2,4,yes
95,123500,8050,3,1,1,yes
96,39000,6800,2,1,1,yes
97,53900,8250,3,1,1,yes
98,59900,8250,3,1,1,yes
99,35000,3500,2,1,1,yes
100,43000,2835,2,1,1,yes
101,57000,4500,3,2,2,no
102,79000,3300,3,3,2,yes
103,125000,4320,3,1,2,yes
104,132000,3500,4,2,2,yes
105,58000,4992,3,2,2,yes
106,43000,4600,2,1,1,yes
107,48000,3720,2,1,1,no
108,58500,3680,3,2,2,yes
109,73000,3000,3,2,2,yes
110,63500,3750,2,1,1,yes
111,43000,5076,3,1,1,no
112,46500,4500,2,1,1,no
113,92000,5000,3,1,2,yes
114,75000,4260,4,1,2,yes
115,75000,6540,4,2,2,no
116,85000,3700,4,1,2,yes
117,93000,3760,3,1,2,yes
118,94500,4000,3,2,2,yes
119,106500,4300,3,2,2,yes
120,116000,6840,5,1,2,yes
121,61500,4400,2,1,1,yes
122,80000,10500,4,2,2,yes
123,37000,4400,2,1,1,yes
124,59500,4840,3,1,2,yes
125,70000,4120,2,1,1,yes
126,95000,4260,4,2,2,yes
127,117000,5960,3,3,2,yes
128,122500,8800,3,2,2,yes
129,123500,4560,3,2,2,yes
130,127000,4600,3,2,2,yes
131,35000,4840,2,1,2,yes
132,44500,3850,3,1,2,yes
133,49900,4900,3,1,2,no
134,50500,3850,3,1,1,yes
135,65000,3760,3,1,1,yes
136,90000,6000,4,2,4,yes
137,46000,4370,3,1,2,yes
138,35000,7700,2,1,1,yes
139,26500,2990,2,1,1,no
140,43000,3750,3,1,2,yes
141,56000,3000,3,1,2,yes
142,40000,2650,3,1,2,yes
143,51000,4500,4,2,2,yes
144,51000,4500,2,1,1,no
145,57250,4500,3,1,2,no
146,44000,4500,2,1,2,yes
147,61000,2175,3,1,2,no
148,62000,4500,3,2,3,yes
149,80000,4800,5,2,3,no
150,50000,4600,4,1,2,yes
151,59900,3450,3,1,2,yes
152,35500,3000,3,1,2,no
153,37000,3600,2,2,2,yes
154,42000,3600,3,1,2,no
155,48000,3750,3,1,1,yes
156,60000,2610,4,3,2,no
157,60000,2953,3,1,2,yes
158,60000,2747,4,2,2,no
159,62000,1905,5,1,2,no
160,63000,3968,3,1,2,no
161,63900,3162,3,1,2,yes
